Brand;Year;# Models;Sales
Nokia          ;2006;31;344916
Nokia          ;2007;38;435453
Nokia          ;2008;38;472315
Nokia          ;2009;47;4408816
Nokia          ;2010;38;4613182
Nokia          ;2011;37;4224783
Nokia          ;2012;30;333938
Nokia          ;2013;26;2507931
Nokia          ;2014;22;
Nokia          ;2015;8;
Nokia          ;2016;2;
Nokia          ;2017;4;
Nokia          ;2018;0;
Nokia          ;2019;0;
Nokia          ;2463;1;
Nokia          ;2523;1;
Nvidia         ;2014;2;
Nvidia         ;2015;1;
O2             ;2003;3;
O2             ;2004;8;
O2             ;2005;10;
O2             ;2006;10;
O2             ;2007;9;
O2             ;2008;4;
O2             ;2009;1;
OnePlus        ;2014;1;
OnePlus        ;2015;2;
OnePlus        ;2016;2;
OnePlus        ;2017;1;
Oppo           ;1992;0;
Oppo           ;1993;0;
Oppo           ;1994;0;
Oppo           ;1995;0;
Oppo           ;1996;0;
Oppo           ;1997;0;
Oppo           ;1998;0;
Oppo           ;1999;0;
Oppo           ;2000;0;
Oppo           ;2001;0;
Oppo           ;2002;0;
Oppo           ;2003;0;
Oppo           ;2004;0;
Oppo           ;2005;0;
Oppo           ;2006;0;
Oppo           ;2007;0;
Oppo           ;2008;0;
Oppo           ;2009;0;
Oppo           ;2010;0;
Oppo           ;2011;0;
Oppo           ;2012;8;
Oppo           ;2013;5;
Oppo           ;2014;13;
Oppo           ;2015;18;
Oppo           ;2016;9;852995
Oppo           ;2017;5;112124
Oppo           ;2018;0;1188375
Oppo           ;2019;0;1186932
Orange         ;2011;12;
Orange         ;2012;2;
Orange         ;2013;1;
Orange         ;2014;3;
Others         ;1992;0;
Others         ;1993;0;
Others         ;1994;0;
Others         ;1995;0;
Others         ;1996;0;
Others         ;1997;0;
Others         ;1998;0;
Others         ;1999;0;
Others         ;2000;0;
Others         ;2001;0;
Others         ;2002;0;
Others         ;2003;0;
Others         ;2004;0;
Others         ;2005;0;
Others         ;2006;0;
Others         ;2007;0;
Others         ;2008;0;248189
Others         ;2009;0;2991792
Others         ;2010;0;4885693
Others         ;2011;0;5973269
Others         ;2012;0;5873996
Others         ;2013;0;61371
Others         ;2014;0;62936
Others         ;2015;0;6353685
Others         ;2016;0;6823143
Others         ;2017;0;6380047
Others         ;2018;0;6070490
Others         ;2019;0;565630
Palm           ;2002;1;
Palm           ;2003;2;
Palm           ;2004;1;
Palm           ;2006;2;
Palm           ;2007;1;
Palm           ;2008;3;
Palm           ;2009;2;
Palm           ;2010;4;
Panasonic      ;1992;0;
Panasonic      ;1993;0;
Panasonic      ;1994;0;
Panasonic      ;1995;0;
Panasonic      ;1996;0;
Panasonic      ;1997;0;8627
Panasonic      ;1998;1;13397
Panasonic      ;1999;3;15581
Panasonic      ;2000;2;
Panasonic      ;2001;3;
Panasonic      ;2002;2;
Panasonic      ;2003;6;
Panasonic      ;2004;13;
Panasonic      ;2005;11;
Panasonic      ;2006;0;
Panasonic      ;2007;0;
Panasonic      ;2008;0;
Panasonic      ;2009;0;
Panasonic      ;2010;0;
Panasonic      ;2011;4;
Panasonic      ;2012;2;
Panasonic      ;2013;5;
Panasonic      ;2014;11;
Panasonic      ;2015;10;
Panasonic      ;2016;14;
Panasonic      ;2017;7;
Panasonic      ;2018;0;
Panasonic      ;2019;0;
Panasonic      ;2675;1;
Pantech        ;2003;3;
Pantech        ;2004;11;
Pantech        ;2005;12;
Pantech        ;2006;11;
Pantech        ;2007;1;
Pantech        ;2008;2;
Pantech        ;2009;3;
Pantech        ;2010;11;
Pantech        ;2011;7;
Pantech        ;2012;8;
Pantech        ;2013;3;
Parla          ;2012;4;
Parla          ;2013;3;
Parla          ;2014;1;
